               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087425,            0.058517,            0.024928,             0.77332,             0.22161,             0.24617,            0.093501,            0.061853,            0.038105,           0.0098733,            0.070233,           0.0033075,           0.0033075
                   1,            0.068019,            0.047411,           0.0090349,             0.52532,             0.36518,             0.29446,             0.10748,            0.062733,            0.035737,           0.0061622,            0.040126,           0.0065346,           0.0065346
                   2,            0.063911,            0.045124,           0.0074853,             0.62781,             0.42601,              0.3899,             0.17212,            0.057127,            0.036668,           0.0059499,           0.0099134,            0.009655,            0.009655
                   3,             0.05763,            0.045185,           0.0065428,             0.80562,             0.48637,             0.53722,             0.23669,            0.049425,            0.036076,           0.0047106,             0.00952,             0.00952,             0.00952
                   4,            0.053015,            0.045314,           0.0056806,             0.82414,             0.44145,             0.53711,             0.26714,            0.044217,            0.037225,           0.0044746,             0.00952,             0.00952,             0.00952
                   5,            0.050867,            0.044756,           0.0053494,             0.78194,             0.47442,             0.59026,             0.29052,            0.043329,            0.036357,           0.0044241,             0.00936,             0.00936,             0.00936
                   6,            0.049251,            0.043914,           0.0048318,             0.83121,             0.49123,             0.68851,             0.32681,            0.043292,            0.034875,            0.003735,              0.0092,              0.0092,              0.0092
                   7,            0.047808,            0.043013,           0.0046371,             0.84177,             0.48733,             0.68401,             0.34669,            0.041535,            0.035183,           0.0039895,             0.00904,             0.00904,             0.00904
                   8,            0.046513,            0.042477,           0.0043823,             0.65895,             0.70022,             0.75632,              0.3766,            0.040758,            0.033902,           0.0035403,             0.00888,             0.00888,             0.00888
                   9,            0.045555,            0.042444,           0.0041111,             0.77916,             0.63547,             0.71399,             0.36106,            0.040446,            0.034464,           0.0034698,             0.00872,             0.00872,             0.00872
                  10,            0.044844,            0.042143,           0.0039864,             0.83597,             0.62716,             0.71142,               0.362,            0.040655,            0.033897,           0.0032533,             0.00856,             0.00856,             0.00856
                  11,            0.044067,            0.041898,           0.0039103,             0.82779,             0.67317,             0.75807,              0.3734,            0.040162,            0.033965,           0.0032258,              0.0084,              0.0084,              0.0084
                  12,            0.043414,             0.04153,           0.0037099,             0.82099,             0.61469,             0.75051,             0.37127,             0.03948,            0.033405,           0.0029595,             0.00824,             0.00824,             0.00824
                  13,            0.043117,            0.040886,           0.0035661,             0.82555,             0.70265,             0.76654,             0.39039,            0.038899,            0.032994,           0.0028512,             0.00808,             0.00808,             0.00808
                  14,            0.042727,            0.040999,           0.0034396,             0.85868,             0.68165,              0.7944,             0.41244,            0.039562,            0.033183,           0.0029238,             0.00792,             0.00792,             0.00792
                  15,            0.042187,            0.040788,           0.0033574,             0.87724,             0.71485,             0.82867,             0.42086,            0.038522,            0.032438,           0.0028881,             0.00776,             0.00776,             0.00776
                  16,             0.04186,            0.040286,           0.0032594,             0.82242,             0.74138,             0.80618,             0.41113,            0.039054,            0.033427,           0.0026868,              0.0076,              0.0076,              0.0076
                  17,            0.041871,            0.039991,           0.0032395,             0.85859,             0.73682,             0.81823,             0.42481,            0.038369,            0.032516,           0.0025698,             0.00744,             0.00744,             0.00744
                  18,            0.040933,            0.039406,           0.0030399,             0.87027,             0.72989,             0.79785,             0.41047,            0.038164,            0.032097,           0.0024466,             0.00728,             0.00728,             0.00728
                  19,            0.041288,             0.04049,           0.0030444,              0.8965,             0.69079,             0.82142,             0.44704,            0.038062,            0.032445,           0.0025616,             0.00712,             0.00712,             0.00712
                  20,            0.040497,            0.038949,           0.0029459,             0.88443,             0.71783,              0.8302,             0.43713,            0.037954,            0.032188,           0.0023351,             0.00696,             0.00696,             0.00696
                  21,            0.040569,            0.039533,           0.0030035,             0.77621,             0.64883,             0.74855,             0.39064,            0.038191,             0.03365,           0.0026168,              0.0068,              0.0068,              0.0068
                  22,            0.040312,            0.039056,           0.0027843,             0.85114,             0.73112,             0.84499,             0.45279,            0.037472,            0.031764,           0.0022523,             0.00664,             0.00664,             0.00664
                  23,            0.039735,            0.038599,           0.0027732,              0.8209,             0.77003,              0.8547,             0.46685,            0.037374,            0.031771,           0.0022738,             0.00648,             0.00648,             0.00648
                  24,            0.039585,            0.038821,             0.00269,             0.88559,             0.76071,             0.87124,             0.47398,            0.036666,            0.031704,           0.0024866,             0.00632,             0.00632,             0.00632
                  25,            0.039489,            0.038566,           0.0026836,              0.8574,             0.72003,             0.83615,             0.43967,            0.037604,            0.032709,           0.0021754,             0.00616,             0.00616,             0.00616
                  26,            0.039158,            0.038186,           0.0026966,             0.84719,             0.79604,             0.87496,             0.46103,            0.037215,            0.031794,           0.0021385,               0.006,               0.006,               0.006
                  27,            0.039053,            0.038401,           0.0026815,             0.85129,             0.82959,             0.87888,             0.48377,             0.03675,             0.03181,           0.0021268,             0.00584,             0.00584,             0.00584
                  28,            0.038928,            0.038279,           0.0026102,             0.86668,              0.7903,             0.86705,             0.45415,            0.037018,            0.031468,           0.0021699,             0.00568,             0.00568,             0.00568
                  29,            0.038655,            0.037586,           0.0025799,             0.89259,             0.76809,              0.8764,             0.48008,            0.036691,            0.031555,           0.0021827,             0.00552,             0.00552,             0.00552
                  30,            0.038435,             0.03812,            0.002601,             0.85787,             0.75641,             0.86883,             0.45278,             0.03665,            0.031681,           0.0020759,             0.00536,             0.00536,             0.00536
                  31,            0.038333,            0.037434,           0.0024671,             0.86876,             0.75487,             0.85491,             0.45759,            0.036721,            0.032099,           0.0020783,              0.0052,              0.0052,              0.0052
                  32,            0.037957,            0.037105,           0.0023589,              0.8273,             0.75431,             0.84612,             0.45497,            0.036521,            0.031385,           0.0021259,             0.00504,             0.00504,             0.00504
                  33,            0.037939,            0.037222,           0.0024077,             0.85602,             0.79654,             0.86639,              0.4724,             0.03617,            0.031495,           0.0020797,             0.00488,             0.00488,             0.00488
                  34,            0.037917,            0.037932,           0.0025038,             0.88008,             0.74091,             0.84715,             0.45312,            0.036239,            0.031135,           0.0020873,             0.00472,             0.00472,             0.00472
                  35,            0.037464,            0.036861,           0.0023431,             0.83878,             0.79938,             0.87636,             0.47145,            0.036411,             0.03143,           0.0022902,             0.00456,             0.00456,             0.00456
                  36,            0.037224,            0.036644,           0.0022863,             0.85039,             0.83663,             0.88585,             0.49728,            0.036284,            0.031029,           0.0019937,              0.0044,              0.0044,              0.0044
                  37,            0.037366,            0.037198,           0.0022739,             0.86562,             0.79738,             0.87845,             0.48929,            0.036319,            0.031439,           0.0019902,             0.00424,             0.00424,             0.00424
                  38,            0.037051,            0.036089,           0.0023328,             0.89264,             0.78288,             0.88036,             0.49293,            0.035764,            0.031147,           0.0020064,             0.00408,             0.00408,             0.00408
                  39,            0.036952,            0.036204,           0.0022345,             0.88922,             0.78688,             0.88561,             0.49837,            0.036164,            0.031383,           0.0019155,             0.00392,             0.00392,             0.00392
                  40,            0.036921,            0.036675,           0.0022134,             0.87487,              0.8027,              0.8816,             0.49203,             0.03591,            0.031223,           0.0020516,             0.00376,             0.00376,             0.00376
                  41,            0.037058,             0.03619,           0.0022842,             0.88966,             0.79019,             0.87916,             0.49336,             0.03579,            0.031259,           0.0020185,              0.0036,              0.0036,              0.0036
                  42,            0.036513,            0.035887,           0.0021691,             0.89597,              0.7724,             0.87859,             0.49365,            0.035417,             0.03142,           0.0020986,             0.00344,             0.00344,             0.00344
                  43,            0.036424,            0.036293,           0.0021643,             0.88219,             0.82988,             0.88972,             0.49326,            0.035338,            0.031085,           0.0020133,             0.00328,             0.00328,             0.00328
                  44,            0.036457,            0.036202,           0.0021328,             0.88535,             0.77379,             0.88311,             0.48175,            0.035478,            0.031001,           0.0020821,             0.00312,             0.00312,             0.00312
                  45,            0.036254,            0.035541,           0.0021195,             0.88678,             0.79773,             0.88797,              0.5081,            0.035256,            0.030824,           0.0021243,             0.00296,             0.00296,             0.00296
                  46,            0.036077,            0.035708,           0.0021377,             0.90183,             0.76921,             0.87531,             0.49129,            0.035117,            0.030918,           0.0021119,              0.0028,              0.0028,              0.0028
                  47,            0.036093,            0.035769,            0.002023,             0.89385,             0.76126,             0.87181,             0.48694,            0.035662,            0.031507,           0.0020404,             0.00264,             0.00264,             0.00264
                  48,            0.035861,            0.035362,           0.0020358,             0.88407,             0.77575,             0.87932,             0.49791,            0.035377,            0.031404,           0.0019639,             0.00248,             0.00248,             0.00248
                  49,            0.036009,            0.035379,           0.0020883,              0.8997,             0.75545,             0.87978,             0.49566,            0.035251,            0.031103,           0.0019907,             0.00232,             0.00232,             0.00232
